OutRecID,FirstName,MiddleName,LastName,StreetNumber,StreetName,StreetSuffix,UnitType,UnitNumber,City,State,ZIP,MailType,MailAddr1,MailAddr2,MailCity,MailState,MailZIP,SSN,DOB
A101972,Karina,,varju,3610,73rd,pl,,,vero   beach,fl,32967,PO BOX,14186,1896,vero beach,fl,32961,056896080,1954-08-02
A106778,KARINA.,,VARJU,03610,73TH,PL,,,vERo_Beach,FL,32967,P O BOX,14186,1896,Vero Beach,FL,3296I,056-89-608O,19540802
A104577,Fransesco,LILIA,SOLA,361O,73RD PL,,,,Vero   Beach,Fl,3296,POBX,14186,,VERO BEACH,FL,32961,,
A102139,Karina,,VARJU,1438,Flatwod,Ct.,,,Trinity,florida,34655,,,,,,,056896080,1954
A103530,KARINA,,VARJU,1438,Flatwood Ct,,,,Trini_ty,FL,34655,,,,,,,056-89-6080,
A105569,Karin,,Varj,143-8,flatwood,ct,,,"TRINI,TY",FL,3465S,,,,,,,,54/08/02
A103843,Alberto,,Hernanndez,2697,73rd,Pl,,,hialeah,FL,33016,POBOX,976,126743,Hialeah,FL,33012,,1958/01/22
A100721,A. Hernandez,,,2697,73RD,PL,,,HIALEAH , FL ,330l6,P O BOX,976,,Hialeah,FL,33012,056 89 6407,19580122
A105667,Alberto,,HERNANDEZ,02697,73Rd,PL,,,HIALeah,fl,33016-,PO BOX,976,126743,hialeah,FL,33012,056-89-6407,19580122
A102117,ALBERTO,,HERNANDEZ,269 7,73RD PL,,,, hialeah,Fl,330l6,P0 BOX,976, l26743 , Hialeah,FL,330120,56896407,
A103032,ALBERTO,,hernandez,2697,73RD,,,,hialeah,FL,33016,,,,,,,056-89-6407,1958
A106537,Henry,,Watson,1422,219th,ST.,,,torrance,Ca,90501,,,,,,,056896080,08-02-1954
A101229,K. Hernandez,,,1422,219TH ST,,,,"TORR,ANCE",CA,9050I,,,,,,,,1954/08
A104970,Karena,,Hernandez,14 22,219TH,st,,,Torrance,CA,90501,,,,,,,056-89-6080,
A107209,Karina,,HERNANDEZ,1422,219th st,,,,torraance,CA,95001,,,,,,,056-89-6080,19540802
A101325,Al berto,,hernandez,1422,219TH,ST,,,Torrance,CA,90501,,,,,,,056 89 6407,19580122
A104224,A.Hernandez,,,1422,219th st,,,,torranc,CA,905O1,,,,,,,,1958-01-22
A100029,alberto,,HERNANDEZ,14 22,219TH,St.,,,TORRANCE,ca,90501,,,,,,,056-89-6407,
A104787,ALBERTO,,HERNANDEZ,1422,219TH,,,,torr a nce,CA,90501,,,,,,,,58/1/22
A102049,KARINA,,hernandez,124O8,SUMMERS,ST,Apartment,B,waterford,CA,95386,,,,,,,,19540802
A101146,K.VARJU,,,12408,Summers st,,APT,B,WATERFORD,CA,9538,,,,,,,056-89-6080,
