clusterID,refID,tokens,truth
A904735,A904735,"JOHN, A, ANDERSON, 9076, BRIDALVEIL, CIR, STOCKTON, CA, 95212",1
A904735,A923657,"ELIZABETH, A, ANDERSON, 9076, BRIDALVEIL, CIR, STOCKTON, CA, 95212, 24194556, 29420",0
A904735,A958216,"JOHN, A, ANDERSON, 9076, BRIDALVEIL, CIR, STOCKTON, CALI, 95212, 24212604, 28121",1
A904735,A966439,"JONATHAN, A, ANDERSON, 9076, BRIDALVEIL, CRCL, STOCKTON, CALI, 95212, 24212604",1
A904735,B916189,"JOHN, A, ANDERSON, 9076, BRIDALVEIL, CIR, STOCKTON, CA, 95212, 2096452254",1
A904735,B930244,"JOHN, A, ANDERSON, 9076, BRIDALVEIL, CIR, STOCKTON, CA, 95212, 2096452254",1
A904735,B998807,"JONATHAN, A, ANDERSON, 9076, BRIDALVEIL, CIR, STOCKTON, CA, 95212, 2096452254",1
A904739,A904739,"L, LANTRIP, 6417, KENNEDY, CT, WATAUGA, TEXAS, 76148, 25579615, 45372",1
A904739,A959904,"BARBARA, L, LANTRIP, 6417, KENNEDY, CT, WATAUGA, TEXAS, 76148",1
A904739,A982647,"BARBARA, L, TOMPKINS, 6417, KENNEDY, CT, WATAUGA, TEXAS, 76148, 25579615, 1924",1
A904739,A992798,"NATHANIEL, A, TOMPKINS, 6417, KENNEDY, CT, WATAUGA, TEXAS, 76148",0
A904739,B940190,"BARBARA, L, LANTRIP, 6417, KENNEDY, CTB, WATAUGA, TEXAS, 76148, 8174351006",1
A904739,B945299,"L, LANTRIP, 6417, KENNEDY, CORT, WATAUGA, TEXAS, 76148, 8174351006",1
A904739,B953141,"BARBARA, L, TOMPKINS, 6417, KENNEDY, CT, WATAUGA, TEXAS, 76148, 8174351006",1
A904811,A904811,"MARIA, J, LOPEZ, 40850, CORTE, LOS, REYES, INDIO, CA, 92203, 25213528",1
A904811,A964831,"MARIA, J, LOPEZ, 40850, CORTE, LOS, REYES, INDIO, CA, 92203, 25213528, 26489",1
A904811,A971061,"M, J, LOPEZ, 40850, CORTE, LOS, REYES, INDIO, CA, 92203, 25213528, 26489",1
A904811,B928145,"MARIA, J, LOPEZ, 40850, CORTE, LOS, REYES, INDIO, CA, 92203, 7605206327",1
A904811,B984742,"M, J, LOPEZ, 40850, CORTE, LOS, REYES, INDIO, CA, 92203, 7605206327",1
A904811,B991109,"MARIA, J, LOPEZ, 40850, CORTE, LOS, REYES, INDIO, CALI, 92203, 7605206327",1
A904861,A904861,"J, D, ANTHONY, 2320, JARDIN, DR, OXNARD, CALI, 93036, 24370640",1
A904861,A982285,"JULIO, D, ANTHONY, 2320, JARDIN, DRIVE, OXNARD, CALIFORNIA, 93036, 024370640",1
A904861,B919847,"JULIO, D, ANTHONY, 2320, JARDIN, DRIVE, OXNARD, CALIFORNIA, 93036, 8054263532",1
A904861,B928487,"J, D, ANTHONY, 2320, JARDIN, DR, OXNARD, CALIFORNIA, 93036, 8054263532",1
A904861,B998538,"ANDREA, ANTHONY, 2320, JARDINP, DRIVE, OXNARD, CALIFORNIA, 93036, 8054263532",0
A904877,A904877,"RODNEY, M, BRACKLE, 1559, ROCDKWOOD, STRT, LOS, ANGELES, CA, 90026, PO, BOX, 881605, BUZON, LOS, ANGELES, CALIFORNIA, 90009, 22345095",1
A904877,B978486,"RODNEY, M, BRACKLE, 1559, ROCKWOOMD, ST, LOS, ANGELES, CALIFORNIA, 9026, 8181715581",1
A904913,A904913,"J, C, WHITE, 235, HEMPSTEAD, 125, HOPE, AR, 71801, 021258240, 20398",1
