refID1,refID2,step,token1,token2,sim,weight,weighted_sim,row_index,col_index
A904735,A931268,0,JOHN,JOHN,1.0,0.4,0.4,0,0
A904735,A931268,1,ANDERSON,ANDERSON,1.0,0.3,0.3,1,1
A904735,A931268,2,BRIDALVEIL,MARIE,0.19999999999999996,0.2,0.039999999999999994,2,2
A904735,A958216,0,JOHN,JOHN,1.0,0.4,0.4,0,0
A904735,A958216,1,ANDERSON,ANDERSON,1.0,0.3,0.3,1,1
A904735,A958216,2,BRIDALVEIL,BRIDALVEIL,1.0,0.2,0.2,2,2
A904735,A958216,3,STOCKTON,STOCKTON,1.0,0.1,0.1,3,3
A904735,A966439,0,ANDERSON,ANDERSON,1.0,0.3,0.3,1,1
A904735,A966439,1,BRIDALVEIL,BRIDALVEIL,1.0,0.2,0.2,2,2
A904735,A966439,2,STOCKTON,STOCKTON,1.0,0.1,0.1,3,4
A904735,A966439,3,JOHN,JONATHAN,0.5,0.4,0.2,0,0
A904735,B916189,0,JOHN,JOHN,1.0,0.4,0.4,0,0
A904735,B916189,1,ANDERSON,ANDERSON,1.0,0.3,0.3,1,1
A904735,B916189,2,BRIDALVEIL,BRIDALVEIL,1.0,0.2,0.2,2,2
A904735,B916189,3,STOCKTON,STOCKTON,1.0,0.1,0.1,3,3
A904735,B930244,0,JOHN,JOHN,1.0,0.4,0.4,0,0
A904735,B930244,1,ANDERSON,ANDERSON,1.0,0.3,0.3,1,1
A904735,B930244,2,BRIDALVEIL,BRIDALVEIL,1.0,0.2,0.2,2,2
A904735,B930244,3,STOCKTON,STOCKTON,1.0,0.1,0.1,3,3
A904735,B998807,0,ANDERSON,ANDERSON,1.0,0.3,0.3,1,1
A904735,B998807,1,BRIDALVEIL,BRIDALVEIL,1.0,0.2,0.2,2,2
A904735,B998807,2,STOCKTON,STOCKTON,1.0,0.1,0.1,3,3
A904735,B998807,3,JOHN,JONATHAN,0.5,0.4,0.2,0,0
A904739,A959904,0,LANTRIP,LANTRIP,1.0,0.5,0.5,0,1
A904739,A959904,1,KENNEDY,KENNEDY,1.0,0.3333333333333333,0.3333333333333333,1,2
A904739,A959904,2,WATAUGA,WATAUGA,1.0,0.16666666666666666,0.16666666666666666,2,3
A904739,B940190,0,LANTRIP,LANTRIP,1.0,0.5,0.5,0,1
A904739,B940190,1,KENNEDY,KENNEDY,1.0,0.3333333333333333,0.3333333333333333,1,2
A904739,B940190,2,WATAUGA,WATAUGA,1.0,0.16666666666666666,0.16666666666666666,2,4
A904739,B945299,0,LANTRIP,LANTRIP,1.0,0.5,0.5,0,0
A904739,B945299,1,KENNEDY,KENNEDY,1.0,0.3333333333333333,0.3333333333333333,1,1
A904739,B945299,2,WATAUGA,WATAUGA,1.0,0.16666666666666666,0.16666666666666666,2,3
A904758,A930348,0,JOYCE,JOYCE,1.0,0.5,0.5,0,0
A904758,A930348,1,PALLETT,PALLETT,1.0,0.3333333333333333,0.3333333333333333,1,1
A904758,A930348,2,24TH,BRIGHTEN,0.125,0.16666666666666666,0.020833333333333332,2,2
A904758,A986921,0,JOYCE,JOYCE,1.0,0.5,0.5,0,0
A904758,A986921,1,PALLETT,PALLETT,1.0,0.3333333333333333,0.3333333333333333,1,1
A904758,A986921,2,24TH,BONITA,0.16666666666666663,0.16666666666666666,0.02777777777777777,2,3
A904758,B901147,0,JOYCE,JOYCE,1.0,0.5,0.5,0,0
A904758,B901147,1,PALLETT,PALLETT,1.0,0.3333333333333333,0.3333333333333333,1,1
A904758,B901147,2,24TH,BRIGHTEN,0.125,0.16666666666666666,0.020833333333333332,2,2
A904811,A964831,0,LOPEZ,LOPEZ,1.0,0.4,0.4,0,0
A904811,A964831,1,CORTE,CORTE,1.0,0.3,0.3,1,1
A904811,A964831,2,REYES,REYES,1.0,0.2,0.2,2,2
A904811,A964831,3,INDIO,INDIO,1.0,0.1,0.1,3,3
A904811,A971061,0,LOPEZ,LOPEZ,1.0,0.4,0.4,0,0
A904811,A971061,1,CORTE,CORTE,1.0,0.3,0.3,1,1
A904811,A971061,2,REYES,REYES,1.0,0.2,0.2,2,2
A904811,A971061,3,INDIO,INDIO,1.0,0.1,0.1,3,3
A904811,B928145,0,LOPEZ,LOPEZ,1.0,0.4,0.4,0,0
A904811,B928145,1,CORTE,CORTE,1.0,0.3,0.3,1,1
A904811,B928145,2,REYES,REYES,1.0,0.2,0.2,2,2
A904811,B928145,3,INDIO,INDIO,1.0,0.1,0.1,3,3
A904811,B984742,0,LOPEZ,LOPEZ,1.0,0.4,0.4,0,0
A904811,B984742,1,CORTE,CORTE,1.0,0.3,0.3,1,1
A904811,B984742,2,REYES,REYES,1.0,0.2,0.2,2,2
A904811,B984742,3,INDIO,INDIO,1.0,0.1,0.1,3,3
A904811,B991109,0,LOPEZ,LOPEZ,1.0,0.4,0.4,0,0
A904811,B991109,1,CORTE,CORTE,1.0,0.3,0.3,1,1
A904811,B991109,2,REYES,REYES,1.0,0.2,0.2,2,2
A904811,B991109,3,INDIO,INDIO,1.0,0.1,0.1,3,3
A904838,A908374,0,ALBERTO,ALBERTO,1.0,0.4,0.4,0,0
A904838,A908374,1,MALKIEWICZ,MALKIEWICZ,1.0,0.3,0.3,1,1
A904838,A908374,2,GRANT,POMPANO,0.2857142857142857,0.2,0.05714285714285714,2,4
A904838,A908374,3,CHINO,2ND,0.19999999999999996,0.1,0.019999999999999997,3,3
A904838,A915475,0,ALBERTO,ALBERTO,1.0,0.4,0.4,0,0
A904838,A915475,1,MALKIEWICZ,MALKIEWICZ,1.0,0.3,0.3,1,1
A904838,A915475,2,NIPOMO,POMPANO,0.2857142857142857,0.1,0.02857142857142857,3,4
A904838,A915475,3,BENNETT,SOUTHWEST,0.2222222222222222,0.2,0.044444444444444446,2,2
A904838,A952226,0,ALBERTO,ALBERTO,1.0,0.5,0.5,0,0
A904838,A952226,1,MALKIEWICZ,MALKIEWICZ,1.0,0.3333333333333333,0.3333333333333333,1,1
A904838,A952226,2,MCINTOSH,2ND,0.125,0.16666666666666666,0.020833333333333332,2,3
A904838,A962808,0,ALBERTO,ALBERTO,1.0,0.4,0.4,0,0
A904838,A962808,1,MALKIEWICZ,MALKIEWICZ,1.0,0.3,0.3,1,1
A904838,A962808,2,NIPOMO,POMPANO,0.2857142857142857,0.1,0.02857142857142857,3,4
A904838,A962808,3,BENNETT,SOUTHWEST,0.2222222222222222,0.2,0.044444444444444446,2,2
A904838,A981320,0,ALBERTO,ALBERTO,1.0,0.4,0.4,0,0
A904838,A981320,1,MALKIEWICZ,MALKIEWICZ,1.0,0.3,0.3,1,1
A904838,A981320,2,GRANT,POMPANO,0.2857142857142857,0.2,0.05714285714285714,2,4
A904838,A981320,3,CHINO,2ND,0.19999999999999996,0.1,0.019999999999999997,3,3
A904861,A982285,0,ANTHONY,ANTHONY,1.0,0.5,0.5,0,1
A904861,A982285,1,JARDIN,JARDIN,1.0,0.3333333333333333,0.3333333333333333,1,2
A904861,A982285,2,OXNARD,OXNARD,1.0,0.16666666666666666,0.16666666666666666,2,3
A904861,B919847,0,ANTHONY,ANTHONY,1.0,0.5,0.5,0,1
A904861,B919847,1,JARDIN,JARDIN,1.0,0.3333333333333333,0.3333333333333333,1,2
A904861,B919847,2,OXNARD,OXNARD,1.0,0.16666666666666666,0.16666666666666666,2,3
A904861,B928487,0,ANTHONY,ANTHONY,1.0,0.5,0.5,0,0
A904861,B928487,1,JARDIN,JARDIN,1.0,0.3333333333333333,0.3333333333333333,1,1
A904861,B928487,2,OXNARD,OXNARD,1.0,0.16666666666666666,0.16666666666666666,2,2
A904861,B998538,0,ANTHONY,ANTHONY,1.0,0.5,0.5,0,1
A904861,B998538,1,OXNARD,OXNARD,1.0,0.16666666666666666,0.16666666666666666,2,3
A904861,B998538,2,JARDIN,JARDINP,0.8571428571428572,0.3333333333333333,0.2857142857142857,1,2
A904877,A922045,0,RODNEY,RODNEY,1.0,0.5,0.5,0,0
A904877,A922045,1,BRACKLE,BRACKLE,1.0,0.3333333333333333,0.3333333333333333,1,1
A904877,A922045,2,ROCDKWOOD,BLOSSOM,0.11111111111111116,0.16666666666666666,0.018518518518518524,2,3
A904877,A941210,0,RODNEY,RODNEY,1.0,0.5,0.5,0,0
A904877,A941210,1,BRACKLE,BRACKLE,1.0,0.3333333333333333,0.3333333333333333,1,1
A904877,A941210,2,ROCDKWOOD,HEALDSBURG,0.09999999999999998,0.16666666666666666,0.016666666666666663,2,2
A904877,A962473,0,RODNEY,RODNEY,1.0,0.5,0.5,0,0
A904877,A962473,1,BRACKLE,BRACKLE,1.0,0.3333333333333333,0.3333333333333333,1,1
A904877,A962473,2,ROCDKWOOD,DESERT,0.11111111111111116,0.16666666666666666,0.018518518518518524,2,2
A904877,B924608,0,RODNEY,RODNEY,1.0,0.5,0.5,0,0
A904877,B924608,1,BRACKLE,BRACKLE,1.0,0.3333333333333333,0.3333333333333333,1,1
A904877,B924608,2,ROCDKWOOD,APARTADO,0.11111111111111116,0.16666666666666666,0.018518518518518524,2,2
A904877,B976300,0,RODNEY,RODNEY,1.0,0.5,0.5,0,0
A904877,B976300,1,BRACKLE,BRACKLE,1.0,0.3333333333333333,0.3333333333333333,1,1
A904877,B976300,2,ROCDKWOOD,DESERT,0.11111111111111116,0.16666666666666666,0.018518518518518524,2,2
A904877,B978486,0,RODNEY,RODNEY,1.0,0.5,0.5,0,0
A904877,B978486,1,BRACKLE,BRACKLE,1.0,0.3333333333333333,0.3333333333333333,1,1
A904877,B978486,2,ROCDKWOOD,ROCKWOOMD,0.7777777777777778,0.16666666666666666,0.12962962962962962,2,2
A904877,B992093,0,RODNEY,RODNEY,1.0,0.5,0.5,0,0
A904877,B992093,1,BRACKLE,BRACKLE,1.0,0.3333333333333333,0.3333333333333333,1,1
A904877,B992093,2,ROCDKWOOD,FLINTMORE,0.11111111111111116,0.16666666666666666,0.018518518518518524,2,2
A904877,B993587,0,RODNEY,RODNEY,1.0,0.5,0.5,0,0
A904877,B993587,1,BRACKLE,BRACKLE,1.0,0.3333333333333333,0.3333333333333333,1,1
A904877,B993587,2,ROCDKWOOD,BLOSSOM,0.11111111111111116,0.16666666666666666,0.018518518518518524,2,3
A904913,A930639,0,WHITE,WHITE,1.0,0.5,0.5,0,0
A904913,A930639,1,HEMPSTEAD,HEMPSTEAD,1.0,0.3333333333333333,0.3333333333333333,1,1
A904913,A930639,2,HOPE,HOPE,1.0,0.16666666666666666,0.16666666666666666,2,2
A904913,A977354,0,WHITE,WHITE,1.0,0.5,0.5,0,1
A904913,A977354,1,HEMPSTEAD,HEMPSTEAD,1.0,0.3333333333333333,0.3333333333333333,1,2
A904913,A977354,2,HOPE,HOPE,1.0,0.16666666666666666,0.16666666666666666,2,3
A904913,B907721,0,WHITE,WHITE,1.0,0.5,0.5,0,0
A904913,B907721,1,HEMPSTEAD,HEMPSTEAD,1.0,0.3333333333333333,0.3333333333333333,1,1
A904913,B907721,2,HOPE,HOPE,1.0,0.16666666666666666,0.16666666666666666,2,2
A904913,B917277,0,WHITE,WHITE,1.0,0.5,0.5,0,0
A904913,B917277,1,HEMPSTEAD,HEMPSTEAD,1.0,0.3333333333333333,0.3333333333333333,1,1
A904913,B917277,2,HOPE,HOPE,1.0,0.16666666666666666,0.16666666666666666,2,2
A904913,B954771,0,WHITE,WHITE,1.0,0.5,0.5,0,1
A904913,B954771,1,HEMPSTEAD,HEMPSTEAD,1.0,0.3333333333333333,0.3333333333333333,1,2
A904913,B954771,2,HOPE,HOPE,1.0,0.16666666666666666,0.16666666666666666,2,3
A904913,B996923,0,WHITE,WHITE,1.0,0.5,0.5,0,1
A904913,B996923,1,HEMPSTEAD,HEMPSTEAD,1.0,0.3333333333333333,0.3333333333333333,1,2
A904913,B996923,2,HOPE,HOPE,1.0,0.16666666666666666,0.16666666666666666,2,3
A905010,A905320,0,HOPE,HOPE,1.0,0.4,0.4,0,0
A905010,A905320,1,COOLING,COOLING,1.0,0.3,0.3,1,1
A905010,A905320,2,ERS,CEDAR,0.19999999999999996,0.2,0.039999999999999994,2,2
A905010,A905320,3,MISSOURI,HASLET,0.125,0.1,0.0125,3,3
A905010,A920464,0,HOPE,HOPE,1.0,0.4,0.4,0,0
A905010,A920464,1,COOLING,COOLING,1.0,0.3,0.3,1,1
A905010,A920464,2,ERS,CEDAR,0.19999999999999996,0.2,0.039999999999999994,2,2
A905010,A920464,3,MISSOURI,HASLET,0.125,0.1,0.0125,3,3
A905010,A936202,0,HOPE,HOPE,1.0,0.4,0.4,0,0
A905010,A936202,1,COOLING,COOLING,1.0,0.3,0.3,1,1
A905010,A936202,2,MISSOURI,MISSOURI,1.0,0.1,0.1,3,3
A905010,A936202,3,ERS,EROS,0.75,0.2,0.15000000000000002,2,2
A905010,A943916,0,HOPE,HOPE,1.0,0.4,0.4,0,0
A905010,A943916,1,COOLING,COOLING,1.0,0.3,0.3,1,1
A905010,A943916,2,ERS,CIRCLE,0.16666666666666663,0.2,0.033333333333333326,2,2
A905010,B955785,0,HOPE,HOPE,1.0,0.4,0.4,0,0
A905010,B955785,1,COOLING,COOLING,1.0,0.3,0.3,1,1
A905010,B955785,2,ERS,CIRCLE,0.16666666666666663,0.2,0.033333333333333326,2,2
A905010,B976712,0,HOPE,HOPE,1.0,0.4,0.4,0,0
A905010,B976712,1,COOLING,COOLING,1.0,0.3,0.3,1,1
A905010,B976712,2,ERS,BEFLTON,0.1428571428571429,0.2,0.02857142857142858,2,3
A905010,B976712,3,MISSOURI,LOT,0.125,0.1,0.0125,3,2
A905010,B992520,0,HOPE,HOPE,1.0,0.4,0.4,0,0
A905010,B992520,1,COOLING,COOLING,1.0,0.3,0.3,1,1
A905010,B992520,2,ERS,CEDAR,0.19999999999999996,0.2,0.039999999999999994,2,2
A905010,B992520,3,MISSOURI,POSTE,0.125,0.1,0.0125,3,3
A905010,B996107,0,HOPE,HOPE,1.0,0.4,0.4,0,0
A905010,B996107,1,COOLING,COOLING,1.0,0.3,0.3,1,1
A905010,B996107,2,ERS,CEDAR,0.19999999999999996,0.2,0.039999999999999994,2,2
A905010,B996107,3,MISSOURI,HASLET,0.125,0.1,0.0125,3,3
A905041,A905041,0,CARLDREK,CARLDREK,1.0,0.3333333333333333,0.3333333333333333,0,0
A905041,A905041,1,CHAVEZ,CHAVEZ,1.0,0.26666666666666666,0.26666666666666666,1,1
A905041,A905041,2,INDIANWOOD,INDIANWOOD,1.0,0.2,0.2,2,2
A905041,A905041,3,INDIANTOWN,INDIANTOWN,1.0,0.13333333333333333,0.13333333333333333,3,3
